Student ID,Class Attendance,Class Participation,In-Class Accuracy,First Attempt,Next Attempt Date
109,0.0%,0.0%,0.0%,,
110,0.0%,0.0%,0.0%,507.0,
111,0.0%,0.0%,0.0%,514.0,
112,0.0%,0.0%,0.0%,,
113,0.0%,0.0%,0.0%,512.0,
114,0.0%,0.0%,0.0%,,
115,0.0%,0.0%,0.0%,501.0,4/24/26
116,0.0%,0.0%,0.0%,497.0,5/22/26
117,0.0%,0.0%,0.0%,487.0,5/9/26
118,0.0%,0.0%,0.0%,504.0,
119,0.0%,0.0%,0.0%,,
120,0.0%,0.0%,0.0%,495.0,5/14/26
121,0.0%,0.0%,0.0%,494.0,5/22/26
122,0.0%,0.0%,0.0%,502.0,5/22/26
123,0.0%,0.0%,0.0%,,
124,0.0%,0.0%,0.0%,514.0,
125,0.0%,0.0%,0.0%,493.0,5/8/26
126,0.0%,0.0%,0.0%,511.0,
127,0.0%,0.0%,0.0%,,
128,0.0%,0.0%,0.0%,500.0,5/14/26
129,0.0%,0.0%,0.0%,,
130,0.0%,0.0%,0.0%,,
131,0.0%,0.0%,0.0%,,
132,0.0%,0.0%,0.0%,,
133,0.0%,0.0%,0.0%,511.0,
134,0.0%,0.0%,0.0%,509.0,
135,0.0%,0.0%,0.0%,,
136,0.0%,0.0%,0.0%,478.0,5/2/26
137,0.0%,0.0%,0.0%,,
138,0.0%,0.0%,0.0%,,
139,0.0%,0.0%,0.0%,502.0,5/16/26
140,0.0%,0.0%,0.0%,,
141,0.0%,0.0%,0.0%,483.0,5/9/26
142,0.0%,0.0%,0.0%,,
143,0.0%,0.0%,0.0%,,5/8/26
144,0.0%,0.0%,0.0%,509.0,
145,0.0%,0.0%,0.0%,497.0,
146,0.0%,0.0%,0.0%,497.0,3/7/26
147,0.0%,0.0%,0.0%,,
148,0.0%,0.0%,0.0%,517.0,
149,0.0%,0.0%,0.0%,513.0,
150,0.0%,0.0%,0.0%,508.0,
151,0.0%,0.0%,0.0%,478.0,5/22/26
152,0.0%,0.0%,0.0%,505.0,
153,0.0%,0.0%,0.0%,501.0,4/25/26
154,0.0%,0.0%,0.0%,,
155,0.0%,0.0%,0.0%,,
